id,check_id,category,check,evaluation_value,severity,recommendation,aws,azure,gcp,enable,logic,api,aws_doc_url,azure_doc_url,gcp_doc_url
113,INFO-42,Informational,Git repository allowlist configured,-1,Medium,Enable the Git repository allowlist to restrict which external Git repositories workspace users can connect notebooks to. Without an allowlist users can connect to any external repository enabling code exfiltration and introduction of malicious code from unreviewed sources.,1,1,1,1,Check workspace-conf for enableProjectsAllowList setting,GET https://<workspace_url>/api/2.0/preview/workspace-conf?keys=enableProjectsAllowList,https://docs.databricks.com/repos/repos-setup.html#configure-an-allowlist-for-repos,https://learn.microsoft.com/en-us/azure/databricks/repos/repos-setup#configure-an-allowlist-for-repos,https://docs.gcp.databricks.com/repos/repos-setup.html#configure-an-allowlist-for-repos
114,DP-10,Data Protection,Disable legacy DBFS root and mounts,-1,Medium,Enable the disable_legacy_dbfs workspace setting to prevent the workspace from accessing DBFS root and mounts and enforce Unity Catalog as the data access layer,1,1,1,1,Check Settings v2 disable_legacy_dbfs type and verify setting is enabled,GET https://<workspace_url>/api/2.0/settings/types/disable_legacy_dbfs/names/default,https://docs.databricks.com/aws/en/dbfs/disable-dbfs-root-mounts,https://learn.microsoft.com/en-us/azure/databricks/dbfs/disable-dbfs-root-mounts,https://docs.databricks.com/gcp/en/dbfs/disable-dbfs-root-mounts
115,DP-11,Data Protection,SQL warehouse results download disabled,-1,Medium,Disable SQL results download to prevent data exfiltration via SQL Editor and Dashboards,1,1,1,1,Check Settings v2 sql_results_download type and verify download is disabled,GET https://<workspace_url>/api/2.0/settings/types/sql_results_download/names/default,https://docs.databricks.com/aws/en/admin/workspace-settings/notebooks#enable-users-to-download-sql-query-results,https://learn.microsoft.com/en-us/azure/databricks/admin/workspace-settings/notebooks#enable-users-to-download-sql-query-results,https://docs.databricks.com/gcp/en/admin/workspace-settings/notebooks#enable-users-to-download-sql-query-results
116,DP-13,Data Protection,DBFS file browser disabled,-1,Medium,Disable the DBFS file browser to prevent users from browsing shared storage paths through the UI without an audit trail or access control,1,1,1,1,Check workspace-conf for enableDbfsFileBrowser setting,GET https://<workspace_url>/api/2.0/preview/workspace-conf?keys=enableDbfsFileBrowser,https://docs.databricks.com/aws/en/admin/workspace-settings/dbfs-browser,https://learn.microsoft.com/en-us/azure/databricks/admin/workspace-settings/dbfs-browser,https://docs.databricks.com/gcp/en/admin/workspace-settings/dbfs-browser
117,GOV-42,Governance,Jobs run as service principal,-1,Medium,Configure production jobs to run as a service principal to enforce least privilege and improve audit clarity,1,1,1,1,Flag jobs where run_as_user_name matches an email pattern (indicating a user account rather than a service principal),GET https://<workspace_url>/api/2.2/jobs/list,https://docs.databricks.com/aws/en/admin/users-groups/service-principals#common-use-cases,https://learn.microsoft.com/en-us/azure/databricks/admin/users-groups/service-principals#common-use-cases,https://docs.databricks.com/gcp/en/admin/users-groups/service-principals#common-use-cases
118,IA-8,Identity & Access,PAT token creation restricted to admins,-1,Medium,Databricks recommends you use OAuth access tokens instead of PATs for greater security and convenience,1,1,1,1,Violation if the users group appears in GET /api/2.0/permissions/authorization/tokens ACL — meaning all workspace users can create PATs,GET /api/2.0/permissions/authorization/tokens,https://docs.databricks.com/aws/en/admin/access-control/tokens,https://learn.microsoft.com/en-us/azure/databricks/admin/access-control/tokens,https://docs.databricks.com/gcp/en/admin/access-control/tokens
119,IA-9,Identity & Access,Service principal client secrets not stale,365,Medium,Rotate service principal OAuth client secrets regularly to reduce the exposure window from potentially compromised credentials,1,1,1,1,Check account-level SP secrets and verify all secrets were created or rotated within the configured number of days,GET https://accounts.cloud.databricks.com/api/2.0/accounts/<account_id>/servicePrincipals/<sp_id>/credentials/secrets,https://docs.databricks.com/aws/en/admin/users-groups/service-principals,https://learn.microsoft.com/en-us/azure/databricks/admin/users-groups/service-principals,https://docs.databricks.com/gcp/en/admin/users-groups/service-principals
121,NS-11,Network Security,Workspace IP access list enforcement enabled,-1,High,Enable IP access list enforcement so that the configured workspace IP access lists are actually applied — having entries without enforcement leaves the workspace open to access from any IP,1,1,1,1,Check workspace-conf for enableIpAccessLists setting,GET https://<workspace_url>/api/2.0/preview/workspace-conf?keys=enableIpAccessLists,https://docs.databricks.com/aws/en/security/network/front-end/ip-access-list,https://learn.microsoft.com/en-us/azure/databricks/security/network/front-end/ip-access-list,https://docs.databricks.com/gcp/en/security/network/front-end/ip-access-list
122,NS-12,Network Security,Context-Based Ingress (CBI) policy configured,-1,High,Configure a network policy with RESTRICTED_ACCESS ingress mode to control workspace access based on user identity and network source,1,1,1,1,Check account_networkpolicies table ingress restriction_mode and verify workspace policy uses RESTRICTED_ACCESS mode,GET https://accounts.cloud.databricks.com/api/2.0/accounts/<account_id>/network-policies,https://docs.databricks.com/aws/en/security/network/front-end/context-based-ingress,https://learn.microsoft.com/en-us/azure/databricks/security/network/front-end/context-based-ingress,https://docs.gcp.databricks.com/en/security/network/front-end/context-based-ingress
124,NS-13,Network Security,Account console IP access list enforcement enabled,-1,High,Configure and enable an ALLOW-type IP access list for the account console to restrict console access to known IP ranges — a BLOCK-only configuration does not prevent access from unknown IPs,1,1,1,1,Check account_ipaccess_list for at least one enabled ALLOW-type entry — ALLOW list absent means account console is reachable from any IP,GET https://accounts.cloud.databricks.com/api/2.0/accounts/{account_id}/ip-access-lists,https://docs.databricks.com/aws/en/security/network/front-end/ip-access-list-account,https://learn.microsoft.com/en-us/azure/databricks/security/network/front-end/ip-access-list-account,https://docs.databricks.com/gcp/en/security/network/front-end/ip-access-list-account
123,GOV-45,Governance,Jobs not granting CAN_MANAGE to non-admin principals,-1,High,Review and revoke CAN_MANAGE from any principal other than the job owner and the admins group. Any user group or service principal holding CAN_MANAGE can modify the job definition and execute code as the job owner or its configured run_as identity creating a privilege escalation path.,1,1,1,1,Check job_permissions table for records where group_name is not admins and user_name is not creator_user_name and permission_level is CAN_MANAGE,GET https://<workspace_url>/api/2.0/permissions/jobs/{job_id},https://docs.databricks.com/security/access-control/jobs-acl.html,https://learn.microsoft.com/en-us/azure/databricks/security/access-control/jobs-acl,https://docs.gcp.databricks.com/security/access-control/jobs-acl.html
125,NS-14,Network Security,Egress control from compute — live connectivity test,-1,Medium,Use an egress firewall or proxy appliance to limit outbound traffic to a list of allowed internal or external data sources.,1,1,1,1,Attempt HTTP HEAD requests to public destinations (google.com and ifconfig.me) from compute. If all destinations are reachable the workspace has no egress control.,HTTP HEAD to external public endpoints,https://docs.databricks.com/aws/en/security/network/classic/customer-managed-vpc#configure-a-firewall-and-outbound-access,https://learn.microsoft.com/en-us/azure/databricks/security/network/classic/vnet-inject,https://docs.databricks.com/gcp/en/security/network/classic/customer-managed-vpc
